0,Gasoline_2009,Diesel_fuel_2009,Liquified_petroleum_gas_2009,Jet_fuel_2009,Residual_fuel_oil_2009,Natural_gas_2009,Electricity_2009,Total_2009
HIGHWAY ,16661.4,6013.6,65.3,22.0,0.7,22763.0,0,0
Light vehicles,16042.1,391.4,45.0,0.0,0.0,16478.5,0,0
Buses,7.8,169.5,0.0,22.0,0.7,200.0,0,0
Medium/heavy trucks,611.5,5452.7,20.3,6084.5,0,0,0,0
NONHIGHWAY,237.1,721.4,0.0,2099.3,839.4,616.8,312.2,4826.1
Air,38.2,0.0,0.0,2099.3,0.0,0.0,0.0,2137.5
Water,198.8,253.0,839.4,1291.3,0,0,0,0
Pipeline,0.0,0.0,0.0,0.0,0.0,616.8,240.1,856.9
Rail,0.0,468.4,0.0,0.0,0.0,0.0,72.1,540.4
