0,Gasoline_2012,Diesel_fuel_2012,Liquified_petroleum_gas_2012,Jet_fuel_2012,Residual_fuel_oil_2012,Natural_gas_2012,Electricity_2012,Total_2012
HIGHWAY ,15493.3,5755.4,67.8,-,-,19.4,0.6,21336.6
Light vehicles,14904.2,408.5,48.5,-,c,15361.2,,
Buses,8.7,171.1,-,19.4,0.6,199.8,,
Medium/heavy trucks,580.4,5175.8,19.3,-,-,-,-,5775.5
NONHIGHWAY,222.0,831.7,-,2064.5,686.8,750.7,318.2,4874.0
Air,27.4,-,-,2064.5,-,-,-,2091.9
Water,194.7,305.9,686.8,1187.4,,,,
Pipeline,-,-,-,-,-,750.7,246.2,997.0
Rail,-,525.9,-,-,-,-,72.0,597.8
