0,Gasoline_2018,Diesel_fuel_2018,Liquified_petroleum_gas_2018,Jet_fuel_2018,Residual_fuel_oil_2018,Natural_gas_2018,Electricity_2018,Total_2018
HIGHWAY ,15366.1,6324.3,75.3,-,-,25.4,9.8,21800.9
Light vehicles,14717.5,444.9,53.9,-,-,-,9.6,15225.9
Buses,10.5,189.6,0.3,-,-,25.4,0.2,225.9
Medium/heavy trucks,638.1,5689.8,21.2,-,-,-,-,6349.0
NONHIGHWAY,198.1,867.5,-,2331.5,616.4,889.6,107.4,5010.6
Air,26.7,-,-,2331.5,-,-,-,2358.2
Water,171.4,332.2,-,-,616.4,-,-,1120.0
Pipeline,-,-,-,-,-,889.6,83.3,972.9
Rail,-,535.4,-,-,-,-,24.1,559.5
