0,Gasoline_2011,Diesel_fuel_2011,Liquified_petroleum_gas_2011,Jet_fuel_2011,Residual_fuel_oil_2011,Natural_gas_2011,Electricity_2011,Total_2011
HIGHWAY ,15978.9,5751.1,64.6,0,0,20.2,0.6,21815.3
Light vehicles,15388.4,389.5,45.2,0,0,15823.1,0,0
Buses,7.8,165.9,0,20.2,0.6,194.4,0,0
Medium/heavy trucks,582.7,5195.8,19.3,0,0,0,0,5797.8
NONHIGHWAY,221.8,949.5,0,2136.2,779.4,704.9,316.6,5108.4
Air,25.9,0,0,2136.2,0,0,0,2162.1
Water,195.9,412.8,779.4,1388.1,0,0,0,0
Pipeline,0,0,0,0,0,704.9,244.1,949.0
Rail,0,536.6,0,0,0,0,72.5,609.1
