0,Gasoline_2007_2008_2009_2010_2011_2012_2013,Diesel_fuel_2007_2008_2009_2010_2011_2012_2013,Liquified_petroleum_gas_2007_2008_2009_2010_2011_2012_2013,Jet_fuel_2007_2008_2009_2010_2011_2012_2013,Residual_fuel_oil_2007_2008_2009_2010_2011_2012_2013,Natural_gas_2007_2008_2009_2010_2011_2012_2013,Electricity_2007_2008_2009_2010_2011_2012_2013,Total_2007_2008_2009_2010_2011_2012_2013
HIGHWAY ,15335.0,5885.8,68.2,-,-,20.3,0.7,21309.9
Light vehicles,14730.7,403.4,47.9,-,-,-,-,15182.0
Buses,8.9,173.7,0.6,-,-,20.3,0.7,204.1
Medium/heavy trucks,595.3,5308.7,19.8,-,-,-,-,5923.8
NONHIGHWAY,214.6,818.2,-,2016.1,580.4,888.3,325.9,4843.5
Air,20.9,-,-,2016.1,-,-,-,2037.0
Water,193.8,280.8,-,-,580.4,-,-,1054.9
Pipeline,-,-,-,-,-,888.3,252.5,1140.8
Rail,-,537.4,-,-,-,-,73.4,610.8
