0,Gasoline_2017,Diesel_fuel_2017,Liquified_petroleum_gas_2017,Jet_fuel_2017,Residual_fuel_oil_2017,Natural_gas_2017,Electricity_2017,Total_2017
HIGHWAY ,15495.3,6266.5,75.5,0,0,24.6,6.8,21868.7
Light vehicles,14853.3,445.9,53.9,0,0,0,6.6,15359.8
Buses,9.9,185.0,0.6,0,0,24.6,0.2,220.3
Medium/heavy trucks,632.0,5635.6,21.0,0,0,0,0,6288.6
NONHIGHWAY,214.8,818.5,0,2208.2,669.5,743.9,104.7,4723.2
Air,22.6,0,0,2208.2,0,0,0,2230.8
Water,170.4,290.5,0,0,669.5,0,0,1130.4
Pipeline,0,0,0,0,0,743.9,81.1,825.0
Rail,0,513.3,0,0,0,0,23.6,536.9
