0,Gasoline_2007_2008_2009_2010,Diesel_fuel_2007_2008_2009_2010,Liquified_petroleum_gas_2007_2008_2009_2010,Jet_fuel_2007_2008_2009_2010,Residual_fuel_oil_2007_2008_2009_2010,Natural_gas_2007_2008_2009_2010,Electricity_2007_2008_2009_2010,Total_2007_2008_2009_2010
HIGHWAY ,16437.3,6077.8,67.5,-,-,19.6,0.7,22602.9
Light vehicles,15811.5,403.4,47.0,-,-,16261.8,,
Buses,7.7,162.3,-,19.6,0.7,190.2,,
Medium/heavy trucks,618.2,5512.2,20.5,-,-,-,-,6150.9
NONHIGHWAY,222.6,799.9,-,2122.4,887.0,689.6,314.6,5036.1
Air,25.3,-,-,2122.4,-,-,-,2147.6
Water,197.3,290.1,887.0,1374.4,,,,
Pipeline,-,-,-,-,-,689.6,243.4,933.0
Rail,-,509.8,-,-,-,-,71.2,581.0
