0,Gasoline_2007_2008_2009_2010_2011_2012_2013_2014_2015,Diesel_fuel_2007_2008_2009_2010_2011_2012_2013_2014_2015,Liquified_petroleum_gas_2007_2008_2009_2010_2011_2012_2013_2014_2015,Jet_fuel_2007_2008_2009_2010_2011_2012_2013_2014_2015,Residual_fuel_oil_2007_2008_2009_2010_2011_2012_2013_2014_2015,Natural_gas_2007_2008_2009_2010_2011_2012_2013_2014_2015,Electricity_2007_2008_2009_2010_2011_2012_2013_2014_2015,Total_2007_2008_2009_2010_2011_2012_2013_2014_2015
HIGHWAY ,15343.4,5947.2,70.1,-,-,21.9,3.7,21386.3
Light vehicles,14733.1,414.1,49.5,-,-,-,3.4,15200.1
Buses,8.9,170.9,0.7,-,-,21.9,0.3,202.7
Medium/heavy trucks,601.3,5362.3,20.0,-,-,-,-,5983.6
NONHIGHWAY,214.6,927.3,-,2095.6,464.6,686.9,104.2,4493.2
Air,22.0,-,-,2095.6,-,-,-,2117.7
Water,192.6,388.4,-,-,464.6,-,-,1045.6
Pipeline,-,-,-,-,-,686.9,80.3,767.1
Rail,-,538.8,-,-,-,-,24.0,562.8
