0,Gasoline_2007_2008_2009_2010_2011_2012_2013_2014,Diesel_fuel_2007_2008_2009_2010_2011_2012_2013_2014,Liquified_petroleum_gas_2007_2008_2009_2010_2011_2012_2013_2014,Jet_fuel_2007_2008_2009_2010_2011_2012_2013_2014,Residual_fuel_oil_2007_2008_2009_2010_2011_2012_2013_2014,Natural_gas_2007_2008_2009_2010_2011_2012_2013_2014,Electricity_2007_2008_2009_2010_2011_2012_2013_2014,Total_2007_2008_2009_2010_2011_2012_2013_2014
HIGHWAY ,15653.4,5992.4,71.1,-,-,21.7,3.7,21742.3
Light vehicles,15039.0,422.0,50.4,-,-,-,3.0,15514.4
Buses,9.2,174.0,0.6,-,-,21.7,0.7,206.1
Medium/heavy trucks,605.2,5396.3,20.1,-,-,-,-,6021.6
NONHIGHWAY,217.8,840.4,-,2038.6,447.3,861.7,325.0,4730.6
Air,24.7,-,-,2038.6,-,-,-,2063.3
Water,193.1,277.6,-,-,447.3,-,-,918.0
Pipeline,-,-,-,-,-,861.7,251.3,1112.9
Rail,-,562.7,-,-,-,-,73.7,636.4
