0,Gasoline_2016,Diesel_fuel_2016,Liquified_petroleum_gas_2016,Jet_fuel_2016,Residual_fuel_oil_2016,Natural_gas_2016,Electricity_2016,Total_2016
HIGHWAY ,15650.2,6121.0,74.5,-,-,23.3,5.0,21873.9
Light vehicles,15023.9,443.2,53.4,-,-,-,4.7,15525.3
Buses,8.9,173.4,0.6,-,-,23.3,0.3,206.5
Medium/heavy trucks,617.3,5504.4,20.5,-,-,-,-,6142.1
NONHIGHWAY,214.8,830.8,-,2155.5,627.7,719.1,104.4,4652.2
Air,22.6,-,-,2155.5,-,-,-,2178.1
Water,192.2,334.0,-,-,627.7,-,-,1153.9
Pipeline,-,-,-,-,-,719.1,80.7,799.8
Rail,-,496.5,-,-,-,-,23.7,520.2
