0,Gasoline_2019,Diesel_fuel_2019,Liquified_petroleum_gas_2019,Jet_fuel_2019,Residual_fuel_oil_2019,Natural_gas_2019,Electricity_2019,Total_2019
HIGHWAY ,15278.3,6237.2,76.4,-,-,26.7,14.2,21632.8
Light vehicles,14640.3,454.5,55.4,-,-,-,14.0,15164.2
Buses,10.4,186.3,0.2,-,-,26.7,0.2,223.8
Medium/heavy trucks,627.6,5596.4,20.8,-,-,-,-,6244.8
NONHIGHWAY,194.4,812.5,-,2347.4,530.5,973.5,109.2,4967.6
Air,22.6,-,-,2347.4,-,-,-,2370.0
Water,171.9,309.5,-,-,530.5,-,-,1011.9
Pipeline,-,-,-,-,-,973.5,84.6,1058.1
Rail,-,502.9,-,-,-,-,24.6,527.5
