0,Gasoline_2008,Diesel_fuel_2008,Liquified_petroleum_gas_2008,Jet_fuel_2008,Residual_fuel_oil_2008,Natural_gas_2008,Electricity_2008,Total_2008
HIGHWAY ,16513.8,5060.8,61.5,20.4,0.6,21657.1,,
Light vehicles,16001.9,389.1,44.7,0.0,0.0,16435.7,,
Buses,7.2,171.5,0.0,20.4,0.6,199.8,,
Medium/heavy trucks,504.7,4500.2,16.8,5021.6,,,,
NONHIGHWAY,237.7,794.3,0.0,2355.6,795.8,668.0,314.0,5165.4
Air,37.7,0.0,0.0,2355.6,0.0,0.0,0.0,2393.3
Water,200.0,231.5,795.8,1227.2,,,,
Pipeline,0.0,0.0,0.0,0.0,0.0,668.0,242.5,910.5
Rail,0.0,562.9,0.0,0.0,0.0,0.0,71.5,634.4
