0,Gasoline_2007,Diesel_fuel_2007,Liquified_petroleum_gas_2007,Jet_fuel_2007,Residual_fuel_oil_2007,Natural_gas_2007,Electricity_2007,Total_2007,Gasoline_2008,Diesel_fuel_2008,Liquified_petroleum_gas_2008,Jet_fuel_2008,Residual_fuel_oil_2008,Natural_gas_2008,Electricity_2008,Total_2008,Gasoline_2009,Diesel_fuel_2009,Liquified_petroleum_gas_2009,Jet_fuel_2009,Residual_fuel_oil_2009,Natural_gas_2009,Electricity_2009,Total_2009,Gasoline_2010,Diesel_fuel_2010,Liquified_petroleum_gas_2010,Jet_fuel_2010,Residual_fuel_oil_2010,Natural_gas_2010,Electricity_2010,Total_2010,Gasoline_2011,Diesel_fuel_2011,Liquified_petroleum_gas_2011,Jet_fuel_2011,Residual_fuel_oil_2011,Natural_gas_2011,Electricity_2011,Total_2011,Gasoline_2012,Diesel_fuel_2012,Liquified_petroleum_gas_2012,Jet_fuel_2012,Residual_fuel_oil_2012,Natural_gas_2012,Electricity_2012,Total_2012,Gasoline_2013,Diesel_fuel_2013,Liquified_petroleum_gas_2013,Jet_fuel_2013,Residual_fuel_oil_2013,Natural_gas_2013,Electricity_2013,Total_2013,Gasoline_2014,Diesel_fuel_2014,Liquified_petroleum_gas_2014,Jet_fuel_2014,Residual_fuel_oil_2014,Natural_gas_2014,Electricity_2014,Total_2014,Gasoline_2015,Diesel_fuel_2015,Liquified_petroleum_gas_2015,Jet_fuel_2015,Residual_fuel_oil_2015,Natural_gas_2015,Electricity_2015,Total_2015,Gasoline_2016,Diesel_fuel_2016,Liquified_petroleum_gas_2016,Jet_fuel_2016,Residual_fuel_oil_2016,Natural_gas_2016,Electricity_2016,Total_2016,Gasoline_2017,Diesel_fuel_2017,Liquified_petroleum_gas_2017,Jet_fuel_2017,Residual_fuel_oil_2017,Natural_gas_2017,Electricity_2017,Total_2017,Gasoline_2018,Diesel_fuel_2018,Liquified_petroleum_gas_2018,Jet_fuel_2018,Residual_fuel_oil_2018,Natural_gas_2018,Electricity_2018,Total_2018,Gasoline_2019,Diesel_fuel_2019,Liquified_petroleum_gas_2019,Jet_fuel_2019,Residual_fuel_oil_2019,Natural_gas_2019,Electricity_2019,Total_2019
HIGHWAY ,17022.5,5288.9,62.4,18.4,0.6,22392.7,0,0,16513.8,5060.8,61.5,20.4,0.6,21657.1,0,0,16661.4,6013.6,65.3,22.0,0.7,22763.0,0,0,16437.3,6077.8,67.5,0,0,19.6,0.7,22602.9,15978.9,5751.1,64.6,0,0,20.2,0.6,21815.3,15493.3,5755.4,67.8,0,0,19.4,0.6,21336.6,15335.0,5885.8,68.2,0,0,20.3,0.7,21309.9,15653.4,5992.4,71.1,0,0,21.7,3.7,21742.3,15343.4,5947.2,70.1,0,0,21.9,3.7,21386.3,15650.2,6121.0,74.5,0,0,23.3,5.0,21873.9,15495.3,6266.5,75.5,0,0,24.6,6.8,21868.7,15366.1,6324.3,75.3,0,0,25.4,9.8,21800.9,15278.3,6237.2,76.4,0,0,26.7,14.2,21632.8
Light vehicles,16485.5,394.5,44.9,16924.9,0,0,0,0,16001.9,389.1,44.7,0.0,0.0,16435.7,0,0,16042.1,391.4,45.0,0.0,0.0,16478.5,0,0,15811.5,403.4,47.0,0,0,16261.8,0,0,15388.4,389.5,45.2,0,0,15823.1,0,0,14904.2,408.5,48.5,0,c,15361.2,0,0,14730.7,403.4,47.9,0,0,0,0,15182.0,15039.0,422.0,50.4,0,0,0,3.0,15514.4,14733.1,414.1,49.5,0,0,0,3.4,15200.1,15023.9,443.2,53.4,0,0,0,4.7,15525.3,14853.3,445.9,53.9,0,0,0,6.6,15359.8,14717.5,444.9,53.9,0,0,0,9.6,15225.9,14640.3,454.5,55.4,0,0,0,14.0,15164.2
Buses,6.9,167.7,18.4,0.6,193.7,0,0,0,7.2,171.5,0.0,20.4,0.6,199.8,0,0,7.8,169.5,0.0,22.0,0.7,200.0,0,0,7.7,162.3,0,19.6,0.7,190.2,0,0,7.8,165.9,0,20.2,0.6,194.4,0,0,8.7,171.1,0,19.4,0.6,199.8,0,0,8.9,173.7,0.6,0,0,20.3,0.7,204.1,9.2,174.0,0.6,0,0,21.7,0.7,206.1,8.9,170.9,0.7,0,0,21.9,0.3,202.7,8.9,173.4,0.6,0,0,23.3,0.3,206.5,9.9,185.0,0.6,0,0,24.6,0.2,220.3,10.5,189.6,0.3,0,0,25.4,0.2,225.9,10.4,186.3,0.2,0,0,26.7,0.2,223.8
Medium/heavy trucks,530.1,4726.6,17.5,5274.2,0,0,0,0,504.7,4500.2,16.8,5021.6,0,0,0,0,611.5,5452.7,20.3,6084.5,0,0,0,0,618.2,5512.2,20.5,0,0,0,0,6150.9,582.7,5195.8,19.3,0,0,0,0,5797.8,580.4,5175.8,19.3,0,0,0,0,5775.5,595.3,5308.7,19.8,0,0,0,0,5923.8,605.2,5396.3,20.1,0,0,0,0,6021.6,601.3,5362.3,20.0,0,0,0,0,5983.6,617.3,5504.4,20.5,0,0,0,0,6142.1,632.0,5635.6,21.0,0,0,0,0,6288.6,638.1,5689.8,21.2,0,0,0,0,6349.0,627.6,5596.4,20.8,0,0,0,0,6244.8
NONHIGHWAY,,0,0,0,0,0,0,0,237.7,794.3,0.0,2355.6,795.8,668.0,314.0,5165.4,237.1,721.4,0.0,2099.3,839.4,616.8,312.2,4826.1,222.6,799.9,0,2122.4,887.0,689.6,314.6,5036.1,221.8,949.5,0,2136.2,779.4,704.9,316.6,5108.4,222.0,831.7,0,2064.5,686.8,750.7,318.2,4874.0,214.6,818.2,0,2016.1,580.4,888.3,325.9,4843.5,217.8,840.4,0,2038.6,447.3,861.7,325.0,4730.6,214.6,927.3,0,2095.6,464.6,686.9,104.2,4493.2,214.8,830.8,0,2155.5,627.7,719.1,104.4,4652.2,214.8,818.5,0,2208.2,669.5,743.9,104.7,4723.2,198.1,867.5,0,2331.5,616.4,889.6,107.4,5010.6,194.4,812.5,0,2347.4,530.5,973.5,109.2,4967.6
Air,38.9,0.0,0.0,2470.5,0.0,0.0,0.0,2509.5,37.7,0.0,0.0,2355.6,0.0,0.0,0.0,2393.3,38.2,0.0,0.0,2099.3,0.0,0.0,0.0,2137.5,25.3,0,0,2122.4,0,0,0,2147.6,25.9,0,0,2136.2,0,0,0,2162.1,27.4,0,0,2064.5,0,0,0,2091.9,20.9,0,0,2016.1,0,0,0,2037.0,24.7,0,0,2038.6,0,0,0,2063.3,22.0,0,0,2095.6,0,0,0,2117.7,22.6,0,0,2155.5,0,0,0,2178.1,22.6,0,0,2208.2,0,0,0,2230.8,26.7,0,0,2331.5,0,0,0,2358.2,22.6,0,0,2347.4,0,0,0,2370.0
Water,202.7,344.2,1012.1,1559.1,0,0,0,0,200.0,231.5,795.8,1227.2,0,0,0,0,198.8,253.0,839.4,1291.3,0,0,0,0,197.3,290.1,887.0,1374.4,0,0,0,0,195.9,412.8,779.4,1388.1,0,0,0,0,194.7,305.9,686.8,1187.4,0,0,0,0,193.8,280.8,0,0,580.4,0,0,1054.9,193.1,277.6,0,0,447.3,0,0,918.0,192.6,388.4,0,0,464.6,0,0,1045.6,192.2,334.0,0,0,627.7,0,0,1153.9,170.4,290.5,0,0,669.5,0,0,1130.4,171.4,332.2,0,0,616.4,0,0,1120.0,171.9,309.5,0,0,530.5,0,0,1011.9
Pipeline,0.0,0.0,0.0,0.0,0.0,642.2,241.3,883.5,0.0,0.0,0.0,0.0,0.0,668.0,242.5,910.5,0.0,0.0,0.0,0.0,0.0,616.8,240.1,856.9,0,0,0,0,0,689.6,243.4,933.0,0,0,0,0,0,704.9,244.1,949.0,0,0,0,0,0,750.7,246.2,997.0,0,0,0,0,0,888.3,252.5,1140.8,0,0,0,0,0,861.7,251.3,1112.9,0,0,0,0,0,686.9,80.3,767.1,0,0,0,0,0,719.1,80.7,799.8,0,0,0,0,0,743.9,81.1,825.0,0,0,0,0,0,889.6,83.3,972.9,0,0,0,0,0,973.5,84.6,1058.1
Rail,0.0,586.7,0.0,0.0,0.0,0.0,70.8,657.5,0.0,562.9,0.0,0.0,0.0,0.0,71.5,634.4,0.0,468.4,0.0,0.0,0.0,0.0,72.1,540.4,0,509.8,0,0,0,0,71.2,581.0,0,536.6,0,0,0,0,72.5,609.1,0,525.9,0,0,0,0,72.0,597.8,0,537.4,0,0,0,0,73.4,610.8,0,562.7,0,0,0,0,73.7,636.4,0,538.8,0,0,0,0,24.0,562.8,0,496.5,0,0,0,0,23.7,520.2,0,513.3,0,0,0,0,23.6,536.9,0,535.4,0,0,0,0,24.1,559.5,0,502.9,0,0,0,0,24.6,527.5
