modo_transporte,tipo_combustible,valor
HIGHWAY ,Residual_fuel_oil_2016,0
Light vehicles,Residual_fuel_oil_2016,0
Buses,Residual_fuel_oil_2016,0
Medium/heavy trucks,Residual_fuel_oil_2016,0
NONHIGHWAY,Residual_fuel_oil_2016,627.7
Air,Residual_fuel_oil_2016,0
Water,Residual_fuel_oil_2016,627.7
Pipeline,Residual_fuel_oil_2016,0
Rail,Residual_fuel_oil_2016,0
HIGHWAY ,Natural_gas_2016,23.3
Light vehicles,Natural_gas_2016,0
Buses,Natural_gas_2016,23.3
Medium/heavy trucks,Natural_gas_2016,0
NONHIGHWAY,Natural_gas_2016,719.1
Air,Natural_gas_2016,0
Water,Natural_gas_2016,0
Pipeline,Natural_gas_2016,719.1
Rail,Natural_gas_2016,0
HIGHWAY ,Electricity_2016,5
Light vehicles,Electricity_2016,4.7
Buses,Electricity_2016,0.3
Medium/heavy trucks,Electricity_2016,0
NONHIGHWAY,Electricity_2016,104.4
Air,Electricity_2016,0
Water,Electricity_2016,0
Pipeline,Electricity_2016,80.7
Rail,Electricity_2016,23.7
HIGHWAY ,Total_2016,21873.9
Light vehicles,Total_2016,15525.3
Buses,Total_2016,206.5
Medium/heavy trucks,Total_2016,6142.1
NONHIGHWAY,Total_2016,4652.2
Air,Total_2016,2178.1
Water,Total_2016,1153.9
Pipeline,Total_2016,799.8
Rail,Total_2016,520.2
HIGHWAY ,Gasoline_2017,15495.3
Light vehicles,Gasoline_2017,14853.3
Buses,Gasoline_2017,9.9
Medium/heavy trucks,Gasoline_2017,632
NONHIGHWAY,Gasoline_2017,214.8
Air,Gasoline_2017,22.6
Water,Gasoline_2017,170.4
Pipeline,Gasoline_2017,0
Rail,Gasoline_2017,0
HIGHWAY ,Diesel_fuel_2017,6266.5
Light vehicles,Diesel_fuel_2017,445.9
Buses,Diesel_fuel_2017,185
Medium/heavy trucks,Diesel_fuel_2017,5635.6
NONHIGHWAY,Diesel_fuel_2017,818.5
Air,Diesel_fuel_2017,0
Water,Diesel_fuel_2017,290.5
Pipeline,Diesel_fuel_2017,0
Rail,Diesel_fuel_2017,513.3
HIGHWAY ,Liquified_petroleum_gas_2017,75.5
Light vehicles,Liquified_petroleum_gas_2017,53.9
Buses,Liquified_petroleum_gas_2017,0.6
Medium/heavy trucks,Liquified_petroleum_gas_2017,21
NONHIGHWAY,Liquified_petroleum_gas_2017,0
Air,Liquified_petroleum_gas_2017,0
Water,Liquified_petroleum_gas_2017,0
Pipeline,Liquified_petroleum_gas_2017,0
Rail,Liquified_petroleum_gas_2017,0
HIGHWAY ,Jet_fuel_2017,0
Light vehicles,Jet_fuel_2017,0
Buses,Jet_fuel_2017,0
Medium/heavy trucks,Jet_fuel_2017,0
NONHIGHWAY,Jet_fuel_2017,2208.2
Air,Jet_fuel_2017,2208.2
Water,Jet_fuel_2017,0
Pipeline,Jet_fuel_2017,0
Rail,Jet_fuel_2017,0
HIGHWAY ,Residual_fuel_oil_2017,0
Light vehicles,Residual_fuel_oil_2017,0
Buses,Residual_fuel_oil_2017,0
Medium/heavy trucks,Residual_fuel_oil_2017,0
NONHIGHWAY,Residual_fuel_oil_2017,669.5
Air,Residual_fuel_oil_2017,0
Water,Residual_fuel_oil_2017,669.5
Pipeline,Residual_fuel_oil_2017,0
Rail,Residual_fuel_oil_2017,0
HIGHWAY ,Natural_gas_2017,24.6
Light vehicles,Natural_gas_2017,0
Buses,Natural_gas_2017,24.6
Medium/heavy trucks,Natural_gas_2017,0
NONHIGHWAY,Natural_gas_2017,743.9
Air,Natural_gas_2017,0
Water,Natural_gas_2017,0
Pipeline,Natural_gas_2017,743.9
Rail,Natural_gas_2017,0
HIGHWAY ,Electricity_2017,6.8
Light vehicles,Electricity_2017,6.6
Buses,Electricity_2017,0.2
Medium/heavy trucks,Electricity_2017,0
NONHIGHWAY,Electricity_2017,104.7
Air,Electricity_2017,0
Water,Electricity_2017,0
Pipeline,Electricity_2017,81.1
Rail,Electricity_2017,23.6
HIGHWAY ,Total_2017,21868.7
Light vehicles,Total_2017,15359.8
Buses,Total_2017,220.3
Medium/heavy trucks,Total_2017,6288.6
NONHIGHWAY,Total_2017,4723.2
Air,Total_2017,2230.8
Water,Total_2017,1130.4
Pipeline,Total_2017,825
Rail,Total_2017,536.9
HIGHWAY ,Gasoline_2018,15366.1
Light vehicles,Gasoline_2018,14717.5
Buses,Gasoline_2018,10.5
Medium/heavy trucks,Gasoline_2018,638.1
NONHIGHWAY,Gasoline_2018,198.1
Air,Gasoline_2018,26.7
Water,Gasoline_2018,171.4
Pipeline,Gasoline_2018,0
Rail,Gasoline_2018,0
HIGHWAY ,Diesel_fuel_2018,6324.3
Light vehicles,Diesel_fuel_2018,444.9
Buses,Diesel_fuel_2018,189.6
Medium/heavy trucks,Diesel_fuel_2018,5689.8
NONHIGHWAY,Diesel_fuel_2018,867.5
Air,Diesel_fuel_2018,0
Water,Diesel_fuel_2018,332.2
Pipeline,Diesel_fuel_2018,0
Rail,Diesel_fuel_2018,535.4
HIGHWAY ,Liquified_petroleum_gas_2018,75.3
Light vehicles,Liquified_petroleum_gas_2018,53.9
Buses,Liquified_petroleum_gas_2018,0.3
Medium/heavy trucks,Liquified_petroleum_gas_2018,21.2
NONHIGHWAY,Liquified_petroleum_gas_2018,0
Air,Liquified_petroleum_gas_2018,0
Water,Liquified_petroleum_gas_2018,0
Pipeline,Liquified_petroleum_gas_2018,0
Rail,Liquified_petroleum_gas_2018,0
HIGHWAY ,Jet_fuel_2018,0
Light vehicles,Jet_fuel_2018,0
Buses,Jet_fuel_2018,0
Medium/heavy trucks,Jet_fuel_2018,0
NONHIGHWAY,Jet_fuel_2018,2331.5
Air,Jet_fuel_2018,2331.5
Water,Jet_fuel_2018,0
Pipeline,Jet_fuel_2018,0
Rail,Jet_fuel_2018,0
HIGHWAY ,Residual_fuel_oil_2018,0
Light vehicles,Residual_fuel_oil_2018,0
Buses,Residual_fuel_oil_2018,0
Medium/heavy trucks,Residual_fuel_oil_2018,0
NONHIGHWAY,Residual_fuel_oil_2018,616.4
Air,Residual_fuel_oil_2018,0
Water,Residual_fuel_oil_2018,616.4
Pipeline,Residual_fuel_oil_2018,0
Rail,Residual_fuel_oil_2018,0
HIGHWAY ,Natural_gas_2018,25.4
Light vehicles,Natural_gas_2018,0
Buses,Natural_gas_2018,25.4
Medium/heavy trucks,Natural_gas_2018,0
NONHIGHWAY,Natural_gas_2018,889.6
Air,Natural_gas_2018,0
Water,Natural_gas_2018,0
Pipeline,Natural_gas_2018,889.6
Rail,Natural_gas_2018,0
HIGHWAY ,Electricity_2018,9.8
Light vehicles,Electricity_2018,9.6
Buses,Electricity_2018,0.2
Medium/heavy trucks,Electricity_2018,0
NONHIGHWAY,Electricity_2018,107.4
Air,Electricity_2018,0
Water,Electricity_2018,0
Pipeline,Electricity_2018,83.3
Rail,Electricity_2018,24.1
HIGHWAY ,Total_2018,21800.9
Light vehicles,Total_2018,15225.9
Buses,Total_2018,225.9
Medium/heavy trucks,Total_2018,6349
NONHIGHWAY,Total_2018,5010.6
Air,Total_2018,2358.2
Water,Total_2018,1120
Pipeline,Total_2018,972.9
Rail,Total_2018,559.5
HIGHWAY ,Gasoline_2019,15278.3
Light vehicles,Gasoline_2019,14640.3
Buses,Gasoline_2019,10.4
Medium/heavy trucks,Gasoline_2019,627.6
NONHIGHWAY,Gasoline_2019,194.4
Air,Gasoline_2019,22.6
Water,Gasoline_2019,171.9
Pipeline,Gasoline_2019,0
Rail,Gasoline_2019,0
HIGHWAY ,Diesel_fuel_2019,6237.2
Light vehicles,Diesel_fuel_2019,454.5
Buses,Diesel_fuel_2019,186.3
Medium/heavy trucks,Diesel_fuel_2019,5596.4
NONHIGHWAY,Diesel_fuel_2019,812.5
Air,Diesel_fuel_2019,0
Water,Diesel_fuel_2019,309.5
Pipeline,Diesel_fuel_2019,0
Rail,Diesel_fuel_2019,502.9
HIGHWAY ,Liquified_petroleum_gas_2019,76.4
Light vehicles,Liquified_petroleum_gas_2019,55.4
Buses,Liquified_petroleum_gas_2019,0.2
Medium/heavy trucks,Liquified_petroleum_gas_2019,20.8
NONHIGHWAY,Liquified_petroleum_gas_2019,0
Air,Liquified_petroleum_gas_2019,0
Water,Liquified_petroleum_gas_2019,0
Pipeline,Liquified_petroleum_gas_2019,0
Rail,Liquified_petroleum_gas_2019,0
HIGHWAY ,Jet_fuel_2019,0
Light vehicles,Jet_fuel_2019,0
Buses,Jet_fuel_2019,0
Medium/heavy trucks,Jet_fuel_2019,0
NONHIGHWAY,Jet_fuel_2019,2347.4
Air,Jet_fuel_2019,2347.4
Water,Jet_fuel_2019,0
Pipeline,Jet_fuel_2019,0
Rail,Jet_fuel_2019,0
HIGHWAY ,Residual_fuel_oil_2019,0
Light vehicles,Residual_fuel_oil_2019,0
Buses,Residual_fuel_oil_2019,0
Medium/heavy trucks,Residual_fuel_oil_2019,0
NONHIGHWAY,Residual_fuel_oil_2019,530.5
Air,Residual_fuel_oil_2019,0
Water,Residual_fuel_oil_2019,530.5
Pipeline,Residual_fuel_oil_2019,0
Rail,Residual_fuel_oil_2019,0
HIGHWAY ,Natural_gas_2019,26.7
Light vehicles,Natural_gas_2019,0
Buses,Natural_gas_2019,26.7
Medium/heavy trucks,Natural_gas_2019,0
NONHIGHWAY,Natural_gas_2019,973.5
Air,Natural_gas_2019,0
Water,Natural_gas_2019,0
Pipeline,Natural_gas_2019,973.5
Rail,Natural_gas_2019,0
HIGHWAY ,Electricity_2019,14.2
Light vehicles,Electricity_2019,14
Buses,Electricity_2019,0.2
Medium/heavy trucks,Electricity_2019,0
NONHIGHWAY,Electricity_2019,109.2
Air,Electricity_2019,0
Water,Electricity_2019,0
Pipeline,Electricity_2019,84.6
Rail,Electricity_2019,24.6
HIGHWAY ,Total_2019,21632.8
Light vehicles,Total_2019,15164.2
Buses,Total_2019,223.8
Medium/heavy trucks,Total_2019,6244.8
NONHIGHWAY,Total_2019,4967.6
Air,Total_2019,2370
Water,Total_2019,1011.9
Pipeline,Total_2019,1058.1
Rail,Total_2019,527.5
