modo_transporte,tipo_combustible,valor
NONHIGHWAY,Diesel_fuel_2009,721.4
Air,Diesel_fuel_2009,0
Water,Diesel_fuel_2009,253
Pipeline,Diesel_fuel_2009,0
Rail,Diesel_fuel_2009,468.4
HIGHWAY ,Liquified_petroleum_gas_2009,65.3
Light vehicles,Liquified_petroleum_gas_2009,45
Buses,Liquified_petroleum_gas_2009,0
Medium/heavy trucks,Liquified_petroleum_gas_2009,20.3
NONHIGHWAY,Liquified_petroleum_gas_2009,0
Air,Liquified_petroleum_gas_2009,0
Water,Liquified_petroleum_gas_2009,839.4
Pipeline,Liquified_petroleum_gas_2009,0
Rail,Liquified_petroleum_gas_2009,0
HIGHWAY ,Jet_fuel_2009,22
Light vehicles,Jet_fuel_2009,0
Buses,Jet_fuel_2009,22
Medium/heavy trucks,Jet_fuel_2009,6084.5
NONHIGHWAY,Jet_fuel_2009,2099.3
Air,Jet_fuel_2009,2099.3
Water,Jet_fuel_2009,1291.3
Pipeline,Jet_fuel_2009,0
Rail,Jet_fuel_2009,0
HIGHWAY ,Residual_fuel_oil_2009,0.7
Light vehicles,Residual_fuel_oil_2009,0
Buses,Residual_fuel_oil_2009,0.7
Medium/heavy trucks,Residual_fuel_oil_2009,0
NONHIGHWAY,Residual_fuel_oil_2009,839.4
Air,Residual_fuel_oil_2009,0
Water,Residual_fuel_oil_2009,0
Pipeline,Residual_fuel_oil_2009,0
Rail,Residual_fuel_oil_2009,0
HIGHWAY ,Natural_gas_2009,22763
Light vehicles,Natural_gas_2009,16478.5
Buses,Natural_gas_2009,200
Medium/heavy trucks,Natural_gas_2009,0
NONHIGHWAY,Natural_gas_2009,616.8
Air,Natural_gas_2009,0
Water,Natural_gas_2009,0
Pipeline,Natural_gas_2009,616.8
Rail,Natural_gas_2009,0
HIGHWAY ,Electricity_2009,0
Light vehicles,Electricity_2009,0
Buses,Electricity_2009,0
Medium/heavy trucks,Electricity_2009,0
NONHIGHWAY,Electricity_2009,312.2
Air,Electricity_2009,0
Water,Electricity_2009,0
Pipeline,Electricity_2009,240.1
Rail,Electricity_2009,72.1
HIGHWAY ,Total_2009,0
Light vehicles,Total_2009,0
Buses,Total_2009,0
Medium/heavy trucks,Total_2009,0
NONHIGHWAY,Total_2009,4826.1
Air,Total_2009,2137.5
Water,Total_2009,0
Pipeline,Total_2009,856.9
Rail,Total_2009,540.4
HIGHWAY ,Gasoline_2010,16437.3
Light vehicles,Gasoline_2010,15811.5
Buses,Gasoline_2010,7.7
Medium/heavy trucks,Gasoline_2010,618.2
NONHIGHWAY,Gasoline_2010,222.6
